time,sample_id,group,mutation_type,zong_spi
0,Lys2_ev_1_1,ev_pop_1,spacer_deletion,0.012756532
0,Lys2_ev_1_2,ev_pop_1,spacer_deletion,0.010859984
0,Lys2_ev_1_3,ev_pop_1,large_deletion,0.007687703
0,Lys2_ev_1_4,ev_pop_1,large_deletion,0.005941609
0,Lys2_ev_1_5,ev_pop_1,spacer_mutation,0.009896559
0,Lys2_ev_1_6,ev_pop_1,spacer_mutation,0.009820686
0,Lys2_ev_2_1,ev_pop_2,large_deletion,0.00876703
0,Lys2_ev_2_2,ev_pop_2,cas_mutation,0.009807379
0,Lys2_ev_2_3,ev_pop_2,large_deletion,0.010735709
0,Lys2_ev_2_4,ev_pop_2,spacer_deletion,0.010391262
0,Lys2_ev_2_5,ev_pop_2,spacer_mutation,0.010699033
0,Lys2_ev_2_6,ev_pop_2,large_deletion,0.004983002
0,Lys2_ev_3_1,ev_pop_3,cas_mutation,0.010648537
0,Lys2_ev_3_2,ev_pop_3,spacer_deletion,0.00964335
0,Lys2_ev_3_3,ev_pop_3,cas_mutation,0.011476754
0,Lys2_ev_3_4,ev_pop_3,spacer_deletion,0.009366419
0,Lys2_ev_3_5,ev_pop_3,large_deletion,0.009183115
0,Lys2_ev_3_6,ev_pop_3,cas_deletion,0.010675437
0,Lys2_1,anc_pop_2,ancestral,0.019059788
0,Lys2_2,anc_pop_2,ancestral,0.019563417
0,Lys2_3,anc_pop_2,ancestral,0.018855798
0,Lys2_4,anc_pop_2,ancestral,0.014236596
0,Lys2_5,anc_pop_2,ancestral,0.016575214
0,Lys2_6,anc_pop_2,ancestral,0.016999815
2,Lys2_ev_1_1,ev_pop_1,spacer_deletion,0.005622207
2,Lys2_ev_1_2,ev_pop_1,spacer_deletion,0.007215804
2,Lys2_ev_1_3,ev_pop_1,large_deletion,0.005091921
2,Lys2_ev_1_4,ev_pop_1,large_deletion,0.006546951
2,Lys2_ev_1_5,ev_pop_1,spacer_mutation,0.007842447
2,Lys2_ev_1_6,ev_pop_1,spacer_mutation,0.008225772
2,Lys2_ev_2_1,ev_pop_2,large_deletion,0.005946123
2,Lys2_ev_2_2,ev_pop_2,cas_mutation,0.011662736
2,Lys2_ev_2_3,ev_pop_2,large_deletion,0.006217584
2,Lys2_ev_2_4,ev_pop_2,spacer_deletion,0.007433842
2,Lys2_ev_2_5,ev_pop_2,spacer_mutation,0.009386148
2,Lys2_ev_2_6,ev_pop_2,large_deletion,0.004167725
2,Lys2_ev_3_1,ev_pop_3,cas_mutation,0.010008932
2,Lys2_ev_3_2,ev_pop_3,spacer_deletion,0.011297292
2,Lys2_ev_3_3,ev_pop_3,cas_mutation,0.007516323
2,Lys2_ev_3_4,ev_pop_3,spacer_deletion,0.008285596
2,Lys2_ev_3_5,ev_pop_3,large_deletion,0.007470679
2,Lys2_ev_3_6,ev_pop_3,cas_deletion,0.006337378
2,Lys2_1,anc_pop_2,ancestral,0.087629224
2,Lys2_2,anc_pop_2,ancestral,0.08888107
2,Lys2_3,anc_pop_2,ancestral,0.082478161
2,Lys2_4,anc_pop_2,ancestral,0.103302295
2,Lys2_5,anc_pop_2,ancestral,0.076093868
2,Lys2_6,anc_pop_2,ancestral,0.122834335
3,Lys2_ev_1_1,ev_pop_1,spacer_deletion,0.012297114
3,Lys2_ev_1_2,ev_pop_1,spacer_deletion,0.020049056
3,Lys2_ev_1_3,ev_pop_1,large_deletion,0.009492702
3,Lys2_ev_1_4,ev_pop_1,large_deletion,0.011627724
3,Lys2_ev_1_5,ev_pop_1,spacer_mutation,0.01654258
3,Lys2_ev_1_6,ev_pop_1,spacer_mutation,0.015435058
3,Lys2_ev_2_1,ev_pop_2,large_deletion,0.014092879
3,Lys2_ev_2_2,ev_pop_2,cas_mutation,0.014032324
3,Lys2_ev_2_3,ev_pop_2,large_deletion,0.013674011
3,Lys2_ev_2_4,ev_pop_2,spacer_deletion,0.013613861
3,Lys2_ev_2_5,ev_pop_2,spacer_mutation,0.016294113
3,Lys2_ev_2_6,ev_pop_2,large_deletion,0.008956477
3,Lys2_ev_3_1,ev_pop_3,cas_mutation,0.020908115
3,Lys2_ev_3_2,ev_pop_3,spacer_deletion,0.027440916
3,Lys2_ev_3_3,ev_pop_3,cas_mutation,0.015664111
3,Lys2_ev_3_4,ev_pop_3,spacer_deletion,0.012217028
3,Lys2_ev_3_5,ev_pop_3,large_deletion,0.013475261
3,Lys2_ev_3_6,ev_pop_3,cas_deletion,0.018423612
3,Lys2_1,anc_pop_2,ancestral,0.021707492
3,Lys2_2,anc_pop_2,ancestral,0.030302904
3,Lys2_3,anc_pop_2,ancestral,0.018232014
3,Lys2_4,anc_pop_2,ancestral,0.025274669
3,Lys2_5,anc_pop_2,ancestral,0.021189925
3,Lys2_6,anc_pop_2,ancestral,0.021870467
4,Lys2_ev_1_1,ev_pop_1,spacer_deletion,0.019785822
4,Lys2_ev_1_2,ev_pop_1,spacer_deletion,0.020390835
4,Lys2_ev_1_3,ev_pop_1,large_deletion,0.016528156
4,Lys2_ev_1_4,ev_pop_1,large_deletion,0.016898542
4,Lys2_ev_1_5,ev_pop_1,spacer_mutation,0.02452386
4,Lys2_ev_1_6,ev_pop_1,spacer_mutation,0.028433438
4,Lys2_ev_2_1,ev_pop_2,large_deletion,0.017177976
4,Lys2_ev_2_2,ev_pop_2,cas_mutation,0.021966071
4,Lys2_ev_2_3,ev_pop_2,large_deletion,0.016023915
4,Lys2_ev_2_4,ev_pop_2,spacer_deletion,0.018841983
4,Lys2_ev_2_5,ev_pop_2,spacer_mutation,0.027439182
4,Lys2_ev_2_6,ev_pop_2,large_deletion,0.011622909
4,Lys2_ev_3_1,ev_pop_3,cas_mutation,0.02019599
4,Lys2_ev_3_2,ev_pop_3,spacer_deletion,0.018624062
4,Lys2_ev_3_3,ev_pop_3,cas_mutation,0.024167492
4,Lys2_ev_3_4,ev_pop_3,spacer_deletion,0.021252579
4,Lys2_ev_3_5,ev_pop_3,large_deletion,0.016920873
4,Lys2_ev_3_6,ev_pop_3,cas_deletion,0.017218896
4,Lys2_1,anc_pop_2,ancestral,0.045483364
4,Lys2_2,anc_pop_2,ancestral,0.043981768
4,Lys2_3,anc_pop_2,ancestral,0.038183723
4,Lys2_4,anc_pop_2,ancestral,0.047859038
4,Lys2_5,anc_pop_2,ancestral,0.031542151
4,Lys2_6,anc_pop_2,ancestral,0.041083168
5,Lys2_ev_1_1,ev_pop_1,spacer_deletion,0.033034281
5,Lys2_ev_1_2,ev_pop_1,spacer_deletion,0.024670881
5,Lys2_ev_1_3,ev_pop_1,large_deletion,0.021142215
5,Lys2_ev_1_4,ev_pop_1,large_deletion,0.017881135
5,Lys2_ev_1_5,ev_pop_1,spacer_mutation,0.027008781
5,Lys2_ev_1_6,ev_pop_1,spacer_mutation,0.036599854
5,Lys2_ev_2_1,ev_pop_2,large_deletion,0.018229454
5,Lys2_ev_2_2,ev_pop_2,cas_mutation,0.037202924
5,Lys2_ev_2_3,ev_pop_2,large_deletion,0.017699592
5,Lys2_ev_2_4,ev_pop_2,spacer_deletion,0.023979372
5,Lys2_ev_2_5,ev_pop_2,spacer_mutation,0.026787767
5,Lys2_ev_2_6,ev_pop_2,large_deletion,0.010068218
5,Lys2_ev_3_1,ev_pop_3,cas_mutation,0.01669117
5,Lys2_ev_3_2,ev_pop_3,spacer_deletion,0.020230109
5,Lys2_ev_3_3,ev_pop_3,cas_mutation,0.021872684
5,Lys2_ev_3_4,ev_pop_3,spacer_deletion,0.016796591
5,Lys2_ev_3_5,ev_pop_3,large_deletion,0.020683559
5,Lys2_ev_3_6,ev_pop_3,cas_deletion,0.017749973
5,Lys2_1,anc_pop_2,ancestral,0.081727026
5,Lys2_2,anc_pop_2,ancestral,0.051529643
5,Lys2_3,anc_pop_2,ancestral,0.052724929
5,Lys2_4,anc_pop_2,ancestral,0.064744787
5,Lys2_5,anc_pop_2,ancestral,0.050831415
5,Lys2_6,anc_pop_2,ancestral,0.072765272
6,Lys2_ev_1_1,ev_pop_1,spacer_deletion,0.01064451
6,Lys2_ev_1_2,ev_pop_1,spacer_deletion,0.013153312
6,Lys2_ev_1_3,ev_pop_1,large_deletion,0.005542996
6,Lys2_ev_1_4,ev_pop_1,large_deletion,0.008918382
6,Lys2_ev_1_5,ev_pop_1,spacer_mutation,0.011297871
6,Lys2_ev_1_6,ev_pop_1,spacer_mutation,0.011798582
6,Lys2_ev_2_1,ev_pop_2,large_deletion,0.008930634
6,Lys2_ev_2_2,ev_pop_2,cas_mutation,0.013746745
6,Lys2_ev_2_3,ev_pop_2,large_deletion,0.008124906
6,Lys2_ev_2_4,ev_pop_2,spacer_deletion,0.010268967
6,Lys2_ev_2_5,ev_pop_2,spacer_mutation,0.013447994
6,Lys2_ev_2_6,ev_pop_2,large_deletion,0.006063589
6,Lys2_ev_3_1,ev_pop_3,cas_mutation,0.011750337
6,Lys2_ev_3_2,ev_pop_3,spacer_deletion,0.011815821
6,Lys2_ev_3_3,ev_pop_3,cas_mutation,0.013052465
6,Lys2_ev_3_4,ev_pop_3,spacer_deletion,0.009964342
6,Lys2_ev_3_5,ev_pop_3,large_deletion,0.009441579
6,Lys2_ev_3_6,ev_pop_3,cas_deletion,0.011793834
6,Lys2_1,anc_pop_2,ancestral,0.017234213
6,Lys2_2,anc_pop_2,ancestral,0.016187616
6,Lys2_3,anc_pop_2,ancestral,0.015314892
6,Lys2_4,anc_pop_2,ancestral,0.015491943
6,Lys2_5,anc_pop_2,ancestral,0.019941266
6,Lys2_6,anc_pop_2,ancestral,0.019167426
7,Lys2_ev_1_1,ev_pop_1,spacer_deletion,0.006962625
7,Lys2_ev_1_2,ev_pop_1,spacer_deletion,0.00531919
7,Lys2_ev_1_3,ev_pop_1,large_deletion,0.004287372
7,Lys2_ev_1_4,ev_pop_1,large_deletion,0.00449229
7,Lys2_ev_1_5,ev_pop_1,spacer_mutation,0.005505257
7,Lys2_ev_1_6,ev_pop_1,spacer_mutation,0.006136117
7,Lys2_ev_2_1,ev_pop_2,large_deletion,0.011240288
7,Lys2_ev_2_2,ev_pop_2,cas_mutation,0.009632645
7,Lys2_ev_2_3,ev_pop_2,large_deletion,0.008009467
7,Lys2_ev_2_4,ev_pop_2,spacer_deletion,0.011572166
7,Lys2_ev_2_5,ev_pop_2,spacer_mutation,0.010907872
7,Lys2_ev_2_6,ev_pop_2,large_deletion,0.008245022
7,Lys2_ev_3_1,ev_pop_3,cas_mutation,0.008691068
7,Lys2_ev_3_2,ev_pop_3,spacer_deletion,0.008526148
7,Lys2_ev_3_3,ev_pop_3,cas_mutation,0.008018319
7,Lys2_ev_3_4,ev_pop_3,spacer_deletion,0.007945827
7,Lys2_ev_3_5,ev_pop_3,large_deletion,0.005105652
7,Lys2_ev_3_6,ev_pop_3,cas_deletion,0.008043581
7,Lys2_1,anc_pop_2,ancestral,0.019221646
7,Lys2_2,anc_pop_2,ancestral,0.020708238
7,Lys2_3,anc_pop_2,ancestral,0.021809182
7,Lys2_4,anc_pop_2,ancestral,0.013954081
7,Lys2_5,anc_pop_2,ancestral,0.025070345
7,Lys2_6,anc_pop_2,ancestral,0.018146552
10,Lys2_ev_1_1,ev_pop_1,spacer_deletion,0.030502124
10,Lys2_ev_1_2,ev_pop_1,spacer_deletion,0.022389813
10,Lys2_ev_1_3,ev_pop_1,large_deletion,0.02012819
10,Lys2_ev_1_4,ev_pop_1,large_deletion,0.01934447
10,Lys2_ev_1_5,ev_pop_1,spacer_mutation,0.022298948
10,Lys2_ev_1_6,ev_pop_1,spacer_mutation,0.022334977
10,Lys2_ev_2_1,ev_pop_2,large_deletion,0.006163643
10,Lys2_ev_2_2,ev_pop_2,cas_mutation,0.005802952
10,Lys2_ev_2_3,ev_pop_2,large_deletion,0.007108164
10,Lys2_ev_2_4,ev_pop_2,spacer_deletion,0.007303508
10,Lys2_ev_2_5,ev_pop_2,spacer_mutation,0.008254107
10,Lys2_ev_2_6,ev_pop_2,large_deletion,0.005051408
10,Lys2_ev_3_1,ev_pop_3,cas_mutation,0.008603006
10,Lys2_ev_3_2,ev_pop_3,spacer_deletion,0.009047799
10,Lys2_ev_3_3,ev_pop_3,cas_mutation,0.007887929
10,Lys2_ev_3_4,ev_pop_3,spacer_deletion,0.011233814
10,Lys2_ev_3_5,ev_pop_3,large_deletion,0.007421949
10,Lys2_ev_3_6,ev_pop_3,cas_deletion,0.010954989
10,Lys2_1,anc_pop_2,ancestral,0.043671871
10,Lys2_2,anc_pop_2,ancestral,0.037065188
10,Lys2_3,anc_pop_2,ancestral,0.040975712
10,Lys2_4,anc_pop_2,ancestral,0.034173425
10,Lys2_5,anc_pop_2,ancestral,0.034309533
10,Lys2_6,anc_pop_2,ancestral,0.035106272
12,Lys2_ev_1_1,ev_pop_1,spacer_deletion,0.010629406
12,Lys2_ev_1_2,ev_pop_1,spacer_deletion,0.013706812
12,Lys2_ev_1_3,ev_pop_1,large_deletion,0.009629817
12,Lys2_ev_1_4,ev_pop_1,large_deletion,0.006966502
12,Lys2_ev_1_5,ev_pop_1,spacer_mutation,0.01488809
12,Lys2_ev_1_6,ev_pop_1,spacer_mutation,0.013062099
12,Lys2_ev_2_1,ev_pop_2,large_deletion,0.014518619
12,Lys2_ev_2_2,ev_pop_2,cas_mutation,0.008071412
12,Lys2_ev_2_3,ev_pop_2,large_deletion,0.009401676
12,Lys2_ev_2_4,ev_pop_2,spacer_deletion,0.008067943
12,Lys2_ev_2_5,ev_pop_2,spacer_mutation,0.013590478
12,Lys2_ev_2_6,ev_pop_2,large_deletion,0.00524497
12,Lys2_ev_3_1,ev_pop_3,cas_mutation,0.01122749
12,Lys2_ev_3_2,ev_pop_3,spacer_deletion,0.01141646
12,Lys2_ev_3_3,ev_pop_3,cas_mutation,0.012236278
12,Lys2_ev_3_4,ev_pop_3,spacer_deletion,0.01162704
12,Lys2_ev_3_5,ev_pop_3,large_deletion,0.008779309
12,Lys2_ev_3_6,ev_pop_3,cas_deletion,0.016976763
12,Lys2_1,anc_pop_2,ancestral,0.015100745
12,Lys2_2,anc_pop_2,ancestral,0.01534466
12,Lys2_3,anc_pop_2,ancestral,0.026114426
12,Lys2_4,anc_pop_2,ancestral,0.019415318
12,Lys2_5,anc_pop_2,ancestral,0.018292005
12,Lys2_6,anc_pop_2,ancestral,0.022045952
15,Lys2_ev_1_1,ev_pop_1,spacer_deletion,0.012555056
15,Lys2_ev_1_2,ev_pop_1,spacer_deletion,0.009508405
15,Lys2_ev_1_3,ev_pop_1,large_deletion,0.007500068
15,Lys2_ev_1_4,ev_pop_1,large_deletion,0.005945165
15,Lys2_ev_1_5,ev_pop_1,spacer_mutation,0.009732476
15,Lys2_ev_1_6,ev_pop_1,spacer_mutation,0.009631923
15,Lys2_ev_2_1,ev_pop_2,large_deletion,0.008014443
15,Lys2_ev_2_2,ev_pop_2,cas_mutation,0.006736362
15,Lys2_ev_2_3,ev_pop_2,large_deletion,0.008324542
15,Lys2_ev_2_4,ev_pop_2,spacer_deletion,0.007343789
15,Lys2_ev_2_5,ev_pop_2,spacer_mutation,0.010862957
15,Lys2_ev_2_6,ev_pop_2,large_deletion,0.005552611
15,Lys2_ev_3_1,ev_pop_3,cas_mutation,0.004633234
15,Lys2_ev_3_2,ev_pop_3,spacer_deletion,0.005667843
15,Lys2_ev_3_3,ev_pop_3,cas_mutation,0.008552972
15,Lys2_ev_3_4,ev_pop_3,spacer_deletion,0.007829236
15,Lys2_ev_3_5,ev_pop_3,large_deletion,0.00541598
15,Lys2_ev_3_6,ev_pop_3,cas_deletion,0.007171677
15,Lys2_1,anc_pop_2,ancestral,0.056131976
15,Lys2_2,anc_pop_2,ancestral,0.043085444
15,Lys2_3,anc_pop_2,ancestral,0.058582174
15,Lys2_4,anc_pop_2,ancestral,0.038340852
15,Lys2_5,anc_pop_2,ancestral,0.044472496
15,Lys2_6,anc_pop_2,ancestral,0.050304365
18,Lys2_ev_1_1,ev_pop_1,spacer_deletion,0.013779883
18,Lys2_ev_1_2,ev_pop_1,spacer_deletion,0.010136952
18,Lys2_ev_1_3,ev_pop_1,large_deletion,0.009648382
18,Lys2_ev_1_4,ev_pop_1,large_deletion,0.008560237
18,Lys2_ev_1_5,ev_pop_1,spacer_mutation,0.011996246
18,Lys2_ev_1_6,ev_pop_1,spacer_mutation,0.011291542
18,Lys2_ev_2_1,ev_pop_2,large_deletion,0.004566984
18,Lys2_ev_2_2,ev_pop_2,cas_mutation,0.005428722
18,Lys2_ev_2_3,ev_pop_2,large_deletion,0.0052789
18,Lys2_ev_2_4,ev_pop_2,spacer_deletion,0.006457887
18,Lys2_ev_2_5,ev_pop_2,spacer_mutation,0.005757803
18,Lys2_ev_2_6,ev_pop_2,large_deletion,0.00539689
18,Lys2_ev_3_1,ev_pop_3,cas_mutation,0.005811742
18,Lys2_ev_3_2,ev_pop_3,spacer_deletion,0.0097213
18,Lys2_ev_3_3,ev_pop_3,cas_mutation,0.009110932
18,Lys2_ev_3_4,ev_pop_3,spacer_deletion,0.006297233
18,Lys2_ev_3_5,ev_pop_3,large_deletion,0.007022812
18,Lys2_ev_3_6,ev_pop_3,cas_deletion,0.006891347
18,Lys2_1,anc_pop_2,ancestral,0.083475066
18,Lys2_2,anc_pop_2,ancestral,0.1341706
18,Lys2_3,anc_pop_2,ancestral,0.123848719
18,Lys2_4,anc_pop_2,ancestral,0.125041056
18,Lys2_5,anc_pop_2,ancestral,0.055075156
18,Lys2_6,anc_pop_2,ancestral,0.103294056